lem,index,token,stem,pos,counts
newspaper,1652,newspaper,newspap,NN,46
seoul,583,seoul,seoul,NN,46
fly,1723,flying,fli,VB,46
bos,157,boss,boss,NN,46
self,5182,self,self,NN,45
erotic,18646,erotic,erot,JJ,45
ballet,11887,ballet,ballet,NN,45
stalker,171,stalker,stalker,NN,45
vietnam,803,vietnam,vietnam,NN,45
roll,29838,roll,roll,NN,45
sing,633,singing,sing,VB,45
letter,302,letters,letter,NN,45
vigilante,6888,vigilante,vigilant,NN,45
boyfriend,2201,boyfriend,boyfriend,NN,45
law,1202,law,law,NN,45
operation,6756,operation,oper,NN,45
grandparent,21754,grandparent,grandpar,NN,45
storm,1696,storm,storm,NN,45
rich,53,rich,rich,JJ,45
clown,3193,clown,clown,NN,44
painter,2810,painter,painter,NN,44
masturbation,1756,masturbation,masturb,NN,44
massacre,2327,massacre,massacr,NN,44
border,4073,border,border,NN,44
guilt,3106,guilt,guilt,NN,44
cocaine,5437,cocaine,cocain,NN,44
israel,6746,israel,israel,NN,44
pilot,1722,pilot,pilot,NN,44
justice,482,justice,justic,NN,44
sniper,2705,sniper,sniper,NN,44
taxi,10118,taxi,taxi,NN,44
kingdom,3212,kingdom,kingdom,NN,44
resistance,6585,resistance,resist,NN,44
gas,717,gas,ga,NN,44
moon,687,moon,moon,NN,44
end,314,end,end,NN,44
buddy,37,buddy,buddi,NN,44
god,649,god,god,NN,44
break,201,breaking,break,VB,44
comedian,4382,comedian,comedian,NN,44
porn,17152,porn,porn,NN,44
combat,6028,combat,combat,NN,44
terminal,817,terminal,termin,NN,43
isolation,2503,isolation,isol,NN,43
sacrifice,684,sacrifice,sacrific,NN,43
wilderness,1676,wilderness,wilder,NN,43
youth,1587,youth,youth,NN,43
chicago,474,chicago,chicago,NN,43
building,1698,building,build,NN,43
nudity,1766,nudity,nuditi,NN,43
helicopter,5106,helicopter,helicopt,NN,43
dynasty,2685,dynasty,dynasti,NN,43
fraud,3215,fraud,fraud,NN,42
