id,title,release_date,genres,video_key,overview,trailer_url,keywords,popularity,vote_count,vote_average,n_keyf
6466,Freddy vs. Jason,2003-08-15,['Horror'],zSLGPdpd2d0,"In an attempt to free himself from a state of forgotten limbo, evil dream-demon Freddy Krueger (Robert Englund) devises a plan to manipulate un-dead mass murderer Jason Voorhees (Ken Kirzenger) into slicing-and-dicing his way through the teenage population of Springwood.  But when the master of dreams loses control of his monster, a brutal fight to the death is the only way out in this long anticipated crossover between two of modern horror's most notorious killers!",https://www.youtube.com/watch?v=zSLGPdpd2d0,"['murder', 'marijuana', 'teenager', 'bad dream']",30.726999999999997,1639,5.9,4986
453,A Beautiful Mind,2001-12-11,"['Drama', 'Romance']",WFJgUm7iOKw,"John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.",https://www.youtube.com/watch?v=WFJgUm7iOKw,"['individual', 'schizophrenia', 'massachusetts', ""love of one's life"", 'intelligence', 'mathematician', 'market economy', 'economic theory', 'princeton university', 'nobel prize', 'mathematical theorem', 'm.i.t.', 'biography', 'mathematics', 'delusion']",22.205,7422,7.8,4731
7874,Black Snake Moan,2006-12-31,['Drama'],VYMqX3SKIGY,"A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, is looking everywhere for love, but never quite finding it.",https://www.youtube.com/watch?v=VYMqX3SKIGY,"['southern usa', 'blues', 'trauma', 'musician', 'military service', 'tennessee', 'nymphomaniac', 'captive', 'moonshine', 'drunkeness']",11.808,544,6.8,4092
244509,Cold in July,2014-05-23,"['Drama', 'Thriller']",XkyuV69YZcM,"While investigating noises in his house one balmy Texas night in 1989, Richard Dane puts a bullet in the brain of a low-life burglar. Although he’s hailed as a small-town hero, Dane soon finds himself fearing for his family’s safety when Freddy’s ex-con father rolls into town, hell-bent on revenge.",https://www.youtube.com/watch?v=XkyuV69YZcM,"['based on novel or book', 'cemetery', 'texas', 'self-defense', 'flashlight', 'revenge', 'murder', 'violence', 'home invasion', 'neo-noir', 'intruder', '1980s', 'snuff film']",10.448,509,6.5,4260
44264,True Grit,2010-12-22,"['Drama', 'Adventure', 'Western']",unEO_p71cik,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",https://www.youtube.com/watch?v=unEO_p71cik,"['loss of loved one', 'based on novel or book', 'father murder', 'arkansas', 'texas ranger', 'alcoholism', 'betrayal', 'eye patch']",14.914000000000001,3882,7.3,4596
23047,Season of the Witch,2011-01-07,"['Adventure', 'Fantasy', 'Action']",uSbWTgIoz4g,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",https://www.youtube.com/watch?v=uSbWTgIoz4g,"['inquisition', 'monk', 'ambush', 'witch', 'hero', 'fight', 'horse', 'ritual', 'knife', 'knight', 'blood', 'middle ages', 'catholic church', '14th century']",22.445,1789,5.4,4650
10200,The Day the Earth Stood Still,2008-12-10,"['Drama', 'Science Fiction', 'Thriller']",w8INBc01Zlo,"A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",https://www.youtube.com/watch?v=w8INBc01Zlo,"['extraterrestrial technology', 'spacecraft', 'ultimatum', 'evacuation', 'panic', 'government', 'remake', 'ufo', 'alien', 'end of the world', 'giant robot', 'tank', 'social commentary', 'power outage', 'interrogation', 'environmentalism', 'threat', 'alien contact', 'central park', 'messenger', 'nanobots', 'disintegration']",21.943,2400,5.5,4431
2832,Identity,2003-04-25,"['Mystery', 'Thriller']",TQkG2x3qTf4,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",https://www.youtube.com/watch?v=TQkG2x3qTf4,"['prostitute', 'detective', 'nevada', 'prisoner', 'rain', 'motel', 'weather', 'psychopath', 'ex-cop', 'stranded', 'murder', 'serial killer', 'scream', 'storm', 'psychiatrist', 'convict', 'thunderstorm', 'rainstorm', 'split personality', 'mental disorders', 'murder mystery', 'dissociative identity disorder', 'isolated place']",12.571,2559,7.2,4488
58151,Fright Night,2011-08-18,"['Horror', 'Comedy']",txgGhyjPZGg,"A teenager suspects his new neighbour is a vampire. Unable to convince anyone, he tries to enlist the help of a self-proclaimed vampire hunter and magician in this remake of the 1985 comedy-horror classic.",https://www.youtube.com/watch?v=txgGhyjPZGg,"['sunrise', 'vampire', 'suspicion', 'remake', 'suburbia']",15.602,1356,6.1,4374
5175,Rush Hour 2,2001-08-03,"['Action', 'Comedy', 'Crime']",SCTzYY95Aw4,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",https://www.youtube.com/watch?v=SCTzYY95Aw4,['duringcreditsstinger'],24.864,2712,6.6,4134
